traj_id,task,agent,model,reward,n_steps,placeholder_frac,max_msg_repeat_frac,no_tool_frac,exclude
log-summary-date-ranges__3aXSd8b,log-summary-date-ranges,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,26,0.038,0.04,0.038,True
count-dataset-tokens__hnJLicx,count-dataset-tokens,codex,gpt-5-codex@openai,0,21,0.286,0.048,0.143,True
circuit-fibsqrt__SQZcuou,circuit-fibsqrt,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,181,0.066,0.146,0.033,False
extract-elf__UB2SQBr,extract-elf,openhands,grok-4-0709@xai,0,14,0.071,0.071,0.143,True
bn-fit-modify__NtGDfaT,bn-fit-modify,claude-code,claude-opus-4-5-20251101@anthropic,1,41,0.439,0.049,0.341,False
custom-memory-heap-crash__kB9wB5A,custom-memory-heap-crash,openhands,claude-opus-4-1-20250805@anthropic,1,70,0.086,0.134,0.014,False
gcode-to-text__4kwH47c,gcode-to-text,gemini-cli,gemini-2.5-flash@gemini,0,4,0.25,0.5,0.5,True
largest-eigenval__rKz8ZbG,largest-eigenval,claude-code,claude-opus-4-1-20250805@anthropic,0,53,0.34,0.038,0.415,False
feal-linear-cryptanalysis__923TJt4,feal-linear-cryptanalysis,claude-code,claude-haiku-4-5-20251001@anthropic,0,131,0.084,0.015,0.267,False
fix-git__xX7FE9g,fix-git,codex,gpt-5@openai,1,13,0.154,0.077,0.462,True
fix-ocaml-gc__V6VEfe6,fix-ocaml-gc,mini-swe-agent,gemini-2.5-pro@gemini,0,77,0.429,0.013,0.026,False
gpt2-codegolf__GQ6z9PQ,gpt2-codegolf,claude-code,claude-opus-4-1-20250805@anthropic,0,21,0.286,0.095,0.571,True
fix-ocaml-gc__fAsvhqf,fix-ocaml-gc,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,0,201,0.154,0.196,0.015,False
constraints-scheduling__E2SGM3D,constraints-scheduling,claude-code,claude-opus-4-1-20250805@anthropic,1,22,0.5,0.091,0.455,True
cancel-async-tasks__DDp4EF5,cancel-async-tasks,terminus-3-3,gemini-3.1-pro-preview@Google,1,8,0.75,1.0,0.125,True
constraints-scheduling__5EvwTg3,constraints-scheduling,openhands,claude-sonnet-4-5-20250929@anthropic,1,24,0.208,0.043,0.042,True
cobol-modernization__UjM5i7g,cobol-modernization,mini-swe-agent,gpt-5-codex@openai,1,29,0.034,0.034,0.034,True
build-pov-ray__x5rkyu9,build-pov-ray,claude-code,claude-haiku-4-5-20251001@anthropic,1,94,0.33,0.021,0.479,False
compile-compcert__EiTaFU5,compile-compcert,codex,gpt-5@openai,0,54,0.5,0.019,0.074,False
fix-git__vkW2Esz,fix-git,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,68,0.0,0.5,0.015,True
distribution-search__ypip3pw,distribution-search,deepagent-harbor,gpt-5.2-codex@openai,1,17,0.118,0.333,0.176,True
make-doom-for-mips__r936QwE,make-doom-for-mips,gemini-cli,gemini-2.5-pro@gemini,0,45,0.311,0.022,0.022,False
bn-fit-modify__v5hv5Ur,bn-fit-modify,terminus-3-3,gemini-3.1-pro-preview@Google,1,26,0.5,1.0,0.038,True
crack-7z-hash__umjCcFc,crack-7z-hash,codex,gpt-5-mini@openai,1,30,0.2,0.033,0.133,False
fix-git__twEWymi,fix-git,gemini-cli,gemini-2.5-pro@gemini,1,14,0.286,0.143,0.143,True
make-doom-for-mips__NxWA8NC,make-doom-for-mips,claude-code,claude-opus-4-5-20251101@anthropic,0,175,0.4,0.011,0.326,False
install-windows-3.11__jFJvKMF,install-windows-3.11,terminus-3-3,claude-opus-4-6@anthropic,0,33,0.364,1.0,0.03,True
configure-git-webserver__xLLEcvL,configure-git-webserver,judy,claude-opus-4.6@anthropic,1,50,0.02,0.029,0.24,False
fix-code-vulnerability__NNndX9h,fix-code-vulnerability,deepagent-harbor,gpt-5.2-codex@openai,1,38,0.553,0.5,0.053,True
dna-insert__aoxfDta,dna-insert,mini-swe-agent,openai/gpt-oss-20b@together_ai,0,180,0.0,0.933,0.967,True
cobol-modernization__Dt36j2o,cobol-modernization,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,250,0.0,0.076,0.004,False
mailman__a6hsb9R,mailman,mini-swe-agent,grok-4-0709@xai,1,65,0.2,0.015,0.031,False
compile-compcert__uEcx3YW,compile-compcert,codex,gpt-5-mini@openai,0,62,0.355,0.016,0.065,False
filter-js-from-html__GLPcW73,filter-js-from-html,terminus-3-3,gemini-3.1-pro-preview@Google,0,23,0.522,0.5,0.087,True
compile-compcert__sKQcZkH,compile-compcert,deepagent-harbor,gpt-5.2-codex@openai,1,93,0.29,0.333,0.032,False
filter-js-from-html__TDXt8aT,filter-js-from-html,gemini-cli,gemini-2.5-flash@gemini,0,76,0.184,0.5,0.026,True
build-pmars__jbW7dBs,build-pmars,gemini-cli,gemini-2.5-pro@gemini,1,54,0.315,0.5,0.037,True
mailman__9CS2y3X,mailman,claude-code,claude-haiku-4-5-20251001@anthropic,1,185,0.108,0.016,0.497,False
largest-eigenval__HnVwGzX,largest-eigenval,terminus-2,gpt-5.1-codex@openai,0,15,0.4,0.067,0.0,True
hf-model-inference__8mTMCar,hf-model-inference,terminus-2,glm-5@z-ai,1,15,0.133,0.067,0.067,True
count-dataset-tokens__U9zQsFe,count-dataset-tokens,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,0,14,0.429,0.071,0.071,True
feal-differential-cryptanalysis__RBm4aEK,feal-differential-cryptanalysis,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,0,27,0.556,0.037,0.037,True
build-pmars__66yh4wd,build-pmars,openhands,gemini-2.5-pro@gemini,0,60,0.217,0.067,0.017,False
mailman__3Xepex9,mailman,mini-swe-agent,claude-opus-4-1-20250805@anthropic,1,22,0.364,0.045,0.045,True
adaptive-rejection-sampler__fPDXXjv,adaptive-rejection-sampler,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,31,0.0,0.71,0.742,True
feal-differential-cryptanalysis__5catgNH,feal-differential-cryptanalysis,terminus-2,claude-haiku-4-5-20251001@anthropic,0,66,0.242,0.077,0.03,False
circuit-fibsqrt__AFbvkuN,circuit-fibsqrt,terminus-2,claude-opus-4-5-20251101@anthropic,1,43,0.349,0.023,0.0,False
count-dataset-tokens__rYFuC6R,count-dataset-tokens,mini-swe-agent,gemini-2.5-pro@gemini,0,36,0.917,0.028,0.028,True
code-from-image__M3Eydp2,code-from-image,openhands,claude-opus-4-1-20250805@anthropic,1,58,0.034,0.038,0.017,False
circuit-fibsqrt__uz7KHxA,circuit-fibsqrt,codex,gpt-5-nano@openai,0,9,0.222,0.111,0.444,True
fix-ocaml-gc__ucFnW7b,fix-ocaml-gc,openhands,claude-haiku-4-5-20251001@anthropic,0,1001,0.0,0.5,1.0,True
cancel-async-tasks__2ouLLX9,cancel-async-tasks,openhands,gemini-2.5-flash@gemini,0,8,0.0,0.143,0.125,True
kv-store-grpc__G6WT86e,kv-store-grpc,claude-code,claude-haiku-4-5-20251001@anthropic,1,39,0.154,0.051,0.487,False
largest-eigenval__wJ5TjNH,largest-eigenval,openhands,claude-sonnet-4-5-20250929@anthropic,1,118,0.212,0.034,0.008,False
adaptive-rejection-sampler__wtotAM4,adaptive-rejection-sampler,gemini-cli,gemini-2.5-pro@gemini,0,9,0.333,0.111,0.222,True
feal-linear-cryptanalysis__AVfHtER,feal-linear-cryptanalysis,claude-code,claude-haiku-4-5-20251001@anthropic,0,43,0.279,0.047,0.488,False
install-windows-3.11__TCduxS9,install-windows-3.11,claude-code,claude-opus-4-1-20250805@anthropic,0,134,0.164,0.015,0.478,False
bn-fit-modify__zkfQEyX,bn-fit-modify,codex,gpt-5@openai,1,12,0.083,0.083,0.333,True
build-cython-ext__97w2RaP,build-cython-ext,mini-swe-agent,grok-code-fast-1@xai,0,63,0.286,0.016,0.016,False
cancel-async-tasks__BUchN7M,cancel-async-tasks,claude-code,claude-opus-4-6@anthropic,0,19,0.158,0.053,0.526,True
mailman__BTeoosv,mailman,terminus-2,openai/gpt-oss-20b@together_ai,0,201,0.005,0.198,0.836,False
kv-store-grpc__5Yf5Rpz,kv-store-grpc,claude-code,minimax-m2.1@minimax,1,22,0.318,0.091,0.273,True
build-pmars__LPG6D8Z,build-pmars,terminus-3-3,gemini-3.1-pro-preview@Google,1,17,0.647,1.0,0.059,True
git-leak-recovery__fwPAzuS,git-leak-recovery,openhands,claude-opus-4-5-20251101@anthropic,1,13,0.0,0.154,0.077,True
build-cython-ext__vT93ZT2,build-cython-ext,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,42,0.429,0.024,0.024,False
cobol-modernization__HrRhy4j,cobol-modernization,claude-code,claude-opus-4-1-20250805@anthropic,1,75,0.147,0.027,0.387,False
largest-eigenval__ANTFR57,largest-eigenval,codex,gpt-5@openai,0,37,0.054,0.027,0.135,False
fix-code-vulnerability__A6fYirW,fix-code-vulnerability,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,1,69,0.0,0.015,0.029,False
count-dataset-tokens__87sCMCB,count-dataset-tokens,deepagent-harbor,gpt-5.2-codex@openai,1,17,0.235,0.333,0.176,True
count-dataset-tokens__Yv6tdGY,count-dataset-tokens,gemini-cli,gemini-2.5-pro@gemini,0,32,0.469,0.032,0.062,False
build-cython-ext__LcKNkvF,build-cython-ext,terminus-3-3,gemini-3.1-pro-preview@Google,1,25,0.68,1.0,0.04,True
build-pov-ray__bDjUuBL,build-pov-ray,codex,gpt-5-mini@openai,1,30,0.533,0.033,0.2,True
git-leak-recovery__x3HoAfR,git-leak-recovery,gemini-cli,gemini-2.5-flash@gemini,1,14,0.214,0.5,0.143,True
make-doom-for-mips__rw8BVBk,make-doom-for-mips,claude-code,claude-haiku-4-5-20251001@anthropic,0,178,0.292,0.011,0.461,False
build-pov-ray__zhtDJi8,build-pov-ray,terminus-3-3,gemini-3.1-pro-preview@Google,0,37,0.459,1.0,0.027,True
distribution-search__U2SWAcm,distribution-search,judy,claude-opus-4.6@anthropic,1,27,0.111,0.048,0.37,True
build-pov-ray__GQf5LFU,build-pov-ray,deepagent-harbor,gpt-5.2-codex@openai,1,34,0.382,0.5,0.059,True
compile-compcert__3DfqpJS,compile-compcert,mini-swe-agent,claude-opus-4-1-20250805@anthropic,0,157,0.076,0.025,0.006,False
kv-store-grpc__2rHEuMF,kv-store-grpc,openhands,claude-haiku-4-5-20251001@anthropic,1,210,0.043,0.286,0.567,False
mailman__SsQhKTV,mailman,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,1,95,0.221,0.011,0.011,False
make-doom-for-mips__u6hpWxR,make-doom-for-mips,codex,gpt-5@openai,0,97,0.433,0.01,0.052,False
build-pmars__6KVNhdW,build-pmars,terminus-3-3,claude-opus-4-6@anthropic,0,22,0.364,1.0,0.045,True
cobol-modernization__z8rbv6p,cobol-modernization,deepagent-harbor,gpt-5.2-codex@openai,1,80,0.037,0.333,0.037,False
llm-inference-batching-scheduler__7vihvYk,llm-inference-batching-scheduler,gemini-cli,gemini-2.5-pro@gemini,0,70,0.257,0.157,0.029,False
build-pmars__8YrcALG,build-pmars,gemini-cli,gemini-2.5-flash@gemini,1,33,0.273,0.5,0.061,True
fix-ocaml-gc__Fqodn8k,fix-ocaml-gc,claude-code,claude-haiku-4-5-20251001@anthropic,1,190,0.3,0.011,0.479,False
cancel-async-tasks__aDgLK6w,cancel-async-tasks,terminus-2,gemini-2.5-pro@gemini,0,3,0.333,0.333,0.333,True
cancel-async-tasks__nf6gAk4,cancel-async-tasks,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,1,12,0.0,0.083,0.083,True
gcode-to-text__t5WmcG9,gcode-to-text,mini-swe-agent,claude-opus-4-1-20250805@anthropic,0,20,0.3,0.05,0.05,True
fix-ocaml-gc__2hDySLY,fix-ocaml-gc,terminus-2,gpt-5-nano@openai,0,29,0.862,0.034,0.034,True
configure-git-webserver__w9f8xxs,configure-git-webserver,openhands,gemini-2.5-flash@gemini,0,139,0.0,0.616,0.647,True
distribution-search__PoApFk2,distribution-search,mini-swe-agent,gemini-2.5-pro@gemini,1,12,0.0,0.083,0.083,True
mailman__JYtWmSo,mailman,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,59,0.0,0.068,0.034,False
large-scale-text-editing__PEofeGV,large-scale-text-editing,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,0,60,0.0,0.017,0.033,False
crack-7z-hash__c5ou59w,crack-7z-hash,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,31,0.0,0.032,0.032,False
bn-fit-modify__guoPsBA,bn-fit-modify,mini-swe-agent,grok-4-0709@xai,0,50,0.14,0.02,0.02,False
financial-document-processor__iPhv3bb,financial-document-processor,openhands,claude-opus-4-5-20251101@anthropic,1,38,0.211,0.132,0.026,False
feal-differential-cryptanalysis__QnBhXtC,feal-differential-cryptanalysis,codex,gpt-5@openai,0,8,0.125,0.125,0.625,True
break-filter-js-from-html__uMcR8ke,break-filter-js-from-html,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,222,0.0,0.16,0.099,False
headless-terminal__mYjozhg,headless-terminal,openhands,grok-4-0709@xai,0,15,0.0,0.071,0.133,True
git-leak-recovery__cwdUw5y,git-leak-recovery,claude-code,claude-opus-4-6@anthropic,1,39,0.077,0.026,0.333,False
kv-store-grpc__QzVgiE4,kv-store-grpc,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,64,0.0,0.033,0.016,False
log-summary-date-ranges__YrA9ogi,log-summary-date-ranges,gemini-cli,gemini-2.5-pro@gemini,0,6,0.0,0.167,0.333,True
distribution-search__6tByDSd,distribution-search,claude-code,claude-opus-4-1-20250805@anthropic,0,38,0.237,0.053,0.447,False
install-windows-3.11__er9h2Gw,install-windows-3.11,claude-code,claude-haiku-4-5-20251001@anthropic,0,98,0.194,0.02,0.469,False
crack-7z-hash__cMYMYsU,crack-7z-hash,codex,gpt-5@openai,1,17,0.118,0.059,0.235,True
make-doom-for-mips__MreF2vS,make-doom-for-mips,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,0,127,0.197,0.016,0.016,False
large-scale-text-editing__rYbZzhF,large-scale-text-editing,claude-code,minimax-m2.1@minimax,0,21,0.19,0.095,0.524,True
chess-best-move__74RhvCo,chess-best-move,terminus-2,gemini-2.5-flash@gemini,0,189,0.021,0.418,0.947,True
constraints-scheduling__GQWzF26,constraints-scheduling,claude-code,claude-sonnet-4-5-20250929@anthropic,1,16,0.438,0.125,0.5,True
constraints-scheduling__zrYDhMN,constraints-scheduling,terminus-3-3,gemini-3.1-pro-preview@Google,1,10,0.7,1.0,0.1,True
extract-elf__xfxrD4d,extract-elf,openhands,grok-4-0709@xai,1,19,0.105,0.118,0.053,True
code-from-image__bWnsMSK,code-from-image,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,32,0.469,0.031,0.031,False
financial-document-processor__GGMGsbg,financial-document-processor,claude-code,claude-opus-4-1-20250805@anthropic,1,71,0.366,0.028,0.549,False
fix-code-vulnerability__8ksLsVw,fix-code-vulnerability,codex,gpt-5-nano@openai,0,49,0.367,0.02,0.122,False
distribution-search__EKg82zm,distribution-search,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,1,76,0.447,0.013,0.026,False
feal-differential-cryptanalysis__G9ZXczw,feal-differential-cryptanalysis,deepagent-harbor,gpt-5.2-codex@openai,1,11,0.091,0.333,0.273,True
financial-document-processor__eh8VWzd,financial-document-processor,gemini-cli,gemini-2.5-pro@gemini,0,31,0.0,0.194,0.258,False
chess-best-move__rNn3AwM,chess-best-move,terminus-3-3,claude-opus-4-6@anthropic,1,30,0.467,1.0,0.033,True
fix-code-vulnerability__WiqH4R5,fix-code-vulnerability,codex,gpt-5-mini@openai,1,34,0.353,0.029,0.176,False
count-dataset-tokens__4PiMe86,count-dataset-tokens,gemini-cli,gemini-2.5-flash@gemini,1,15,0.133,0.5,0.133,True
mailman__BUkiAcc,mailman,claude-code,claude-haiku-4-5-20251001@anthropic,0,309,0.201,0.006,0.485,False
configure-git-webserver__HVxMRvz,configure-git-webserver,terminus-3-3,claude-opus-4-6@anthropic,0,31,0.548,1.0,0.032,True
feal-differential-cryptanalysis__pHrWFoj,feal-differential-cryptanalysis,judy,claude-opus-4.6@anthropic,1,32,0.062,0.043,0.312,False
git-multibranch__pPCvHqz,git-multibranch,deepagent-harbor,gpt-5.2-codex@openai,1,55,0.055,0.333,0.055,False
circuit-fibsqrt__MvakZjE,circuit-fibsqrt,mini-swe-agent,gemini-2.5-flash@gemini,0,337,0.018,0.128,0.157,False
fix-ocaml-gc__4FMyNtb,fix-ocaml-gc,openhands,claude-haiku-4-5-20251001@anthropic,1,908,0.04,0.312,0.725,False
mailman__CXyqfVZ,mailman,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,1,74,0.162,0.014,0.014,False
make-doom-for-mips__eUvhNDX,make-doom-for-mips,codex,gpt-5@openai,0,85,0.447,0.012,0.047,False
caffe-cifar-10__JPbd3Jf,caffe-cifar-10,terminus-3-3,gemini-3.1-pro-preview@Google,0,18,0.722,1.0,0.056,True
mailman__vK2oFqB,mailman,deepagent-harbor,gpt-5.2-codex@openai,1,140,0.257,0.333,0.021,False
llm-inference-batching-scheduler__evStmDE,llm-inference-batching-scheduler,gemini-cli,gemini-2.5-flash@gemini,0,112,0.312,0.333,0.027,False
financial-document-processor__fZuguYf,financial-document-processor,gemini-cli,gemini-2.5-flash@gemini,1,59,0.0,0.355,0.339,False
compile-compcert__Fdjrkwp,compile-compcert,claude-code,claude-haiku-4-5-20251001@anthropic,1,178,0.264,0.011,0.461,False
caffe-cifar-10__PJ9cbyp,caffe-cifar-10,terminus-2,gemini-2.5-flash@gemini,0,18,0.833,0.056,0.056,True
circuit-fibsqrt__fRPPpJc,circuit-fibsqrt,terminus-2,claude-opus-4-6@anthropic,1,11,0.273,0.091,0.182,True
bn-fit-modify__vNPqDQS,bn-fit-modify,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,0,15,0.267,0.067,0.067,True
cobol-modernization__tzbzEiq,cobol-modernization,terminus-2,gpt-5-nano@openai,0,27,0.741,0.043,0.185,True
adaptive-rejection-sampler__sNuF5zZ,adaptive-rejection-sampler,openhands,gemini-2.5-pro@gemini,0,96,0.156,0.234,0.01,False
large-scale-text-editing__By82iND,large-scale-text-editing,mini-swe-agent,gpt-5@openai,1,5,0.2,0.2,0.2,True
gpt2-codegolf__qH9pZcX,gpt2-codegolf,openhands,claude-opus-4-1-20250805@anthropic,0,42,0.167,0.167,0.071,False
code-from-image__WyWQiLa,code-from-image,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,60,0.0,0.017,0.017,False
crack-7z-hash__WgSBYYp,crack-7z-hash,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,1,27,0.296,0.037,0.037,True
extract-moves-from-video__KWZLrX2,extract-moves-from-video,mini-swe-agent,grok-4-0709@xai,0,55,0.236,0.018,0.018,False
fix-code-vulnerability__Cg9fX6e,fix-code-vulnerability,openhands,claude-opus-4-5-20251101@anthropic,1,27,0.519,0.222,0.037,True
gcode-to-text__trFvsaK,gcode-to-text,codex,gpt-5-mini@openai,0,11,0.182,0.091,0.364,True
dna-assembly__Vy9Wm9s,dna-assembly,openhands,gemini-2.5-flash@gemini,0,154,0.065,0.101,0.11,False
extract-moves-from-video__ussqBmb,extract-moves-from-video,openhands,gpt-5-mini@openai,0,12,0.0,0.1,0.25,True
fix-git__cSQ66hJ,fix-git,claude-code,claude-opus-4-1-20250805@anthropic,1,34,0.088,0.059,0.441,False
fix-code-vulnerability__7wXM79N,fix-code-vulnerability,openhands,claude-sonnet-4-5-20250929@anthropic,1,104,0.163,0.088,0.01,False
feal-differential-cryptanalysis__BQWu6Bn,feal-differential-cryptanalysis,gemini-cli,gemini-2.5-pro@gemini,0,7,0.143,0.167,0.286,True
build-pmars__gXLDKqC,build-pmars,claude-code,claude-opus-4-6@anthropic,0,45,0.311,0.022,0.289,False
make-doom-for-mips__DU5GBNE,make-doom-for-mips,claude-code,claude-opus-4-1-20250805@anthropic,0,146,0.397,0.014,0.411,False
cobol-modernization__F2jyMPc,cobol-modernization,codex,gpt-5-mini@openai,1,18,0.111,0.056,0.278,True
feal-differential-cryptanalysis__Sochc2Z,feal-differential-cryptanalysis,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,0,65,0.062,0.015,0.015,False
gcode-to-text__GvZSsJQ,gcode-to-text,claude-code,claude-sonnet-4-5-20250929@anthropic,0,15,0.067,0.133,0.667,True
circuit-fibsqrt__5cmfsLn,circuit-fibsqrt,terminus-2,openai/gpt-oss-20b@together_ai,0,201,0.0,0.119,0.995,False
kv-store-grpc__CsyhMnF,kv-store-grpc,claude-code,minimax-m2.1@minimax,1,21,0.286,0.095,0.286,True
feal-differential-cryptanalysis__wFqKMxM,feal-differential-cryptanalysis,terminus-3-3,gemini-3.1-pro-preview@Google,1,14,0.571,1.0,0.071,True
fix-git__BLUdBRG,fix-git,openhands,claude-opus-4-5-20251101@anthropic,1,13,0.154,0.077,0.077,True
fix-ocaml-gc__7N6YEcR,fix-ocaml-gc,mini-swe-agent,gpt-5@openai,1,55,0.709,0.018,0.018,True
fix-ocaml-gc__QNRhDwn,fix-ocaml-gc,claude-code,claude-haiku-4-5-20251001@anthropic,1,144,0.375,0.014,0.431,False
fix-ocaml-gc__g2EHrxN,fix-ocaml-gc,codex,gpt-5-mini@openai,0,47,0.447,0.021,0.128,False
git-multibranch__zEK52fz,git-multibranch,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,1,61,0.049,0.016,0.016,False
extract-elf__FbjWbUA,extract-elf,deepagent-harbor,gpt-5.2-codex@openai,1,15,0.133,0.333,0.2,True
build-cython-ext__AGHHEHC,build-cython-ext,gemini-cli,gemini-2.5-pro@gemini,0,43,0.465,0.023,0.047,False
build-pov-ray__SFvZT2N,build-pov-ray,terminus-3-3,claude-opus-4-6@anthropic,1,55,0.673,1.0,0.018,True
fix-code-vulnerability__FCEzvnH,fix-code-vulnerability,codex,gpt-5-nano@openai,1,45,0.4,0.022,0.111,False
headless-terminal__xmNuMKK,headless-terminal,gemini-cli,gemini-2.5-pro@gemini,1,9,0.222,0.5,0.222,True
make-doom-for-mips__8wXQVWM,make-doom-for-mips,claude-code,claude-haiku-4-5-20251001@anthropic,0,175,0.269,0.011,0.497,False
db-wal-recovery__KA4CXGa,db-wal-recovery,terminus-3-3,claude-opus-4-6@anthropic,0,35,0.629,1.0,0.029,True
db-wal-recovery__cup2cf5,db-wal-recovery,judy,claude-opus-4.6@anthropic,1,33,0.0,0.037,0.303,False
chess-best-move__sxvHtGy,chess-best-move,deepagent-harbor,gpt-5.2-codex@openai,1,38,0.184,1.0,0.026,True
fix-ocaml-gc__ZuqvQwW,fix-ocaml-gc,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,0,160,0.269,0.006,0.006,False
break-filter-js-from-html__VXon375,break-filter-js-from-html,openhands,claude-sonnet-4-5-20250929@anthropic,1,208,0.024,0.053,0.014,False
crack-7z-hash__PWycjQA,crack-7z-hash,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,66,0.136,0.015,0.015,False
dna-assembly__uKLQkEG,dna-assembly,codex,gpt-5-codex@openai,0,140,0.036,0.007,0.014,False
dna-insert__pN9qVGJ,dna-insert,terminus-3-3,gemini-3.1-pro-preview@Google,0,8,0.625,1.0,0.125,True
git-multibranch__gS3hxMy,git-multibranch,deepagent-harbor,gpt-5.2-codex@openai,1,61,0.033,0.333,0.049,False
cobol-modernization__wj6LJrS,cobol-modernization,gemini-cli,gemini-2.5-pro@gemini,0,101,0.01,0.149,0.03,False
financial-document-processor__kRtHCnP,financial-document-processor,gemini-cli,gemini-2.5-pro@gemini,1,30,0.033,0.1,0.3,False
break-filter-js-from-html__MUuu2qe,break-filter-js-from-html,claude-code,claude-opus-4-1-20250805@anthropic,1,215,0.074,0.009,0.405,False
filter-js-from-html__fRyEVD9,filter-js-from-html,terminus-2,claude-opus-4-1-20250805@anthropic,0,9,0.889,0.111,0.111,True
kv-store-grpc__yGLMRGk,kv-store-grpc,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,1,18,0.111,0.056,0.056,True
circuit-fibsqrt__PpHhxUk,circuit-fibsqrt,mini-swe-agent,grok-4-0709@xai,0,6,0.167,0.167,0.5,True
build-cython-ext__yL3PvMr,build-cython-ext,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,33,0.0,0.03,0.03,False
chess-best-move__ybzyWct,chess-best-move,openhands,gpt-5@openai,0,65,0.169,0.292,0.015,False
constraints-scheduling__qb46Ggm,constraints-scheduling,mini-swe-agent,gpt-5-mini@openai,1,3,0.0,0.333,0.333,True
headless-terminal__bLQ8CFf,headless-terminal,openhands,gemini-2.5-pro@gemini,0,34,0.118,0.185,0.029,False
gcode-to-text__DSfz3rJ,gcode-to-text,terminus-2,gemini-3-flash-preview@gemini,0,70,0.057,0.014,0.014,False
cobol-modernization__iYGvMra,cobol-modernization,terminus-2,claude-opus-4-5-20251101@anthropic,1,29,0.207,0.034,0.0,True
financial-document-processor__hTb8cTT,financial-document-processor,mini-swe-agent,grok-code-fast-1@xai,0,31,0.097,0.032,0.032,False
fix-git__9MmWXGo,fix-git,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,54,0.056,0.057,0.019,False
extract-elf__eujQJPE,extract-elf,codex,gpt-5-nano@openai,0,7,0.143,0.143,0.571,True
mailman__QBmE8aG,mailman,openhands,gemini-2.5-flash@gemini,0,340,0.138,0.034,0.009,False
build-pmars__JczjhTM,build-pmars,openhands,claude-opus-4-5-20251101@anthropic,0,20,0.2,0.05,0.05,True
log-summary-date-ranges__teTK3QZ,log-summary-date-ranges,claude-code,claude-opus-4-1-20250805@anthropic,1,26,0.346,0.077,0.462,True
bn-fit-modify__2ffK2JY,bn-fit-modify,openhands,gpt-5-nano@openai,1,70,0.057,0.145,0.3,False
large-scale-text-editing__vUSAGww,large-scale-text-editing,gemini-cli,gemini-2.5-pro@gemini,0,6,0.0,0.5,0.333,True
configure-git-webserver__iWVtVsS,configure-git-webserver,claude-code,claude-opus-4-1-20250805@anthropic,0,56,0.25,0.036,0.393,False
build-pmars__cg6o8Kh,build-pmars,claude-code,claude-opus-4-1-20250805@anthropic,0,60,0.317,0.033,0.433,False
code-from-image__jn5H2Zy,code-from-image,codex,gpt-5-nano@openai,1,7,0.0,0.143,0.714,True
caffe-cifar-10__bMJB9TM,caffe-cifar-10,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,0,92,0.163,0.011,0.011,False
gpt2-codegolf__3PkAKPP,gpt2-codegolf,claude-code,claude-sonnet-4-5-20250929@anthropic,0,8,0.125,0.25,0.875,True
distribution-search__Nk4VHbk,distribution-search,terminus-2,openai/gpt-oss-20b@together_ai,0,201,0.0,0.111,0.995,False
cancel-async-tasks__HkgcuNE,cancel-async-tasks,claude-code,claude-opus-4-1-20250805@anthropic,1,24,0.292,0.083,0.625,True
adaptive-rejection-sampler__FTrfqa8,adaptive-rejection-sampler,terminus-3-3,gemini-3.1-pro-preview@Google,1,8,0.5,1.0,0.125,True
bn-fit-modify__RyfqXL9,bn-fit-modify,openhands,gpt-5@openai,1,22,0.0,0.182,0.136,True
fix-code-vulnerability__bd8wSky,fix-code-vulnerability,mini-swe-agent,claude-opus-4-1-20250805@anthropic,1,43,0.395,0.023,0.023,False
